,name,album,artist,explicit,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,year
244,A Night Off (feat. Lloyd),So Far Gone,Drake,True,2009-01-01,193962,54,2009,0.374,0.611,0.508,3.87e-06,0.168,-5.573,0.0741,103.612,4,2009
239,Houstatlantavegas,So Far Gone,Drake,True,2009-01-01,290791,58,2009,0.393,0.683,0.695,0.00124,0.124,-6.798,0.0574,135.337,4,2009
240,Successful (feat. Trey Songz & Lil Wayne),So Far Gone,Drake,True,2009-01-01,375050,61,2009,0.536,0.562,0.544,0.0,0.17,-5.065,0.369,159.517,4,2009
241,Let’s Call It Off (feat. Peter Bjorn and John),So Far Gone,Drake,True,2009-01-01,234175,54,2009,0.00427,0.79,0.731,0.29,0.157,-4.607,0.0327,127.403,4,2009
242,November 18th,So Far Gone,Drake,True,2009-01-01,188189,63,2009,0.579,0.749,0.476,0.0,0.1,-11.147,0.507,71.937,4,2009
243,Ignant Shit (feat. Lil Wayne),So Far Gone,Drake,True,2009-01-01,302492,58,2009,0.186,0.591,0.846,0.0,0.463,-3.687,0.276,94.795,4,2009
245,Say What's Real,So Far Gone,Drake,True,2009-01-01,230717,53,2009,0.632,0.462,0.773,0.0,0.212,-5.375,0.288,86.157,4,2009
246,Little Bit (feat. Lykke Li),So Far Gone,Drake,True,2009-01-01,230484,65,2009,0.0999,0.758,0.888,0.0336,0.661,-4.899,0.0374,120.392,4,2009
238,Lust For Life,So Far Gone,Drake,True,2009-01-01,176179,54,2009,0.939,0.462,0.422,0.0327,0.108,-10.381,0.175,87.364,4,2009
247,Best I Ever Had,So Far Gone,Drake,True,2009-01-01,257690,81,2009,0.19,0.395,0.922,0.0,0.134,-2.176,0.375,162.361,4,2009
249,Uptown (feat. Bun B & Lil Wayne),So Far Gone,Drake,True,2009-01-01,382262,62,2009,0.00391,0.416,0.824,0.0,0.104,-3.075,0.343,85.433,5,2009
250,Sooner Than Later,So Far Gone,Drake,True,2009-01-01,262046,55,2009,0.178,0.616,0.501,1.2e-05,0.105,-5.722,0.24,94.554,4,2009
251,Bria's Interlude (feat. Omarion),So Far Gone,Drake,True,2009-01-01,139574,67,2009,0.209,0.49,0.507,0.00104,0.119,-6.205,0.0849,147.037,3,2009
252,The Calm,So Far Gone,Drake,True,2009-01-01,243723,51,2009,0.819,0.471,0.784,1.13e-05,0.107,-8.25,0.883,160.833,4,2009
253,Outro (feat. Chilly Gonzales),So Far Gone,Drake,True,2009-01-01,174398,46,2009,0.988,0.397,0.0906,0.856,0.344,-21.655,0.054,185.167,4,2009
254,Brand New,So Far Gone,Drake,True,2009-01-01,213492,56,2009,0.631,0.399,0.491,0.0,0.171,-8.992,0.0714,94.542,3,2009
255,Congratulations,So Far Gone,Drake,True,2009-01-01,332529,51,2009,0.0185,0.333,0.859,0.0,0.22,-2.286,0.148,86.882,5,2009
248,Unstoppable (feat. Santigold & Lil Wayne),So Far Gone,Drake,True,2009-01-01,209957,50,2009,0.165,0.774,0.912,0.0,0.745,-2.787,0.347,150.083,4,2009
228,Show Me A Good Time,Thank Me Later,Drake,True,2010-01-01,210360,58,2010-01-01,0.0386,0.667,0.734,0.0,0.108,-6.064,0.119,128.318,4,2010
227,Over,Thank Me Later,Drake,True,2010-01-01,233560,74,2010-01-01,0.0107,0.35,0.845,0.0,0.123,-5.614,0.2,99.643,5,2010
224,Fireworks,Thank Me Later,Drake,True,2010-01-01,313280,57,2010-01-01,0.433,0.55,0.758,0.0,0.162,-6.472,0.347,89.368,4,2010
225,Karaoke,Thank Me Later,Drake,False,2010-01-01,227960,54,2010-01-01,0.00879,0.758,0.654,0.0258,0.0797,-7.097,0.116,151.008,4,2010
230,Fancy,Thank Me Later,Drake,True,2010-01-01,319386,72,2010-01-01,0.332,0.53,0.884,1.98e-06,0.355,-5.581,0.457,87.194,4,2010
226,The Resistance,Thank Me Later,Drake,True,2010-01-01,225360,62,2010-01-01,0.822,0.547,0.741,0.0,0.117,-8.127,0.163,82.589,4,2010
231,Shut It Down,Thank Me Later,Drake,True,2010-01-01,419306,59,2010-01-01,0.411,0.59,0.434,0.0,0.0979,-9.298,0.069,119.905,4,2010
229,Up All Night,Thank Me Later,Drake,True,2010-01-01,234333,69,2010-01-01,0.00782,0.606,0.811,1.49e-05,0.349,-4.667,0.278,156.347,4,2010
233,Light Up,Thank Me Later,Drake,True,2010-01-01,274146,55,2010-01-01,0.0936,0.472,0.908,0.0,0.15,-5.991,0.45,172.924,4,2010
234,Miss Me,Thank Me Later,Drake,True,2010-01-01,305520,64,2010-01-01,0.0813,0.426,0.862,0.0,0.34,-5.979,0.597,100.3,5,2010
235,Cece's Interlude,Thank Me Later,Drake,False,2010-01-01,154120,49,2010-01-01,0.0549,0.473,0.603,6.25e-06,0.115,-6.875,0.0319,94.984,4,2010
236,Find Your Love,Thank Me Later,Drake,False,2010-01-01,208946,71,2010-01-01,0.0211,0.627,0.614,0.0,0.0286,-6.006,0.17,96.038,4,2010
237,Thank Me Now,Thank Me Later,Drake,True,2010-01-01,328573,53,2010-01-01,0.282,0.495,0.772,0.0,0.119,-4.851,0.425,71.295,4,2010
232,Unforgettable,Thank Me Later,Drake,True,2010-01-01,213813,58,2010-01-01,0.103,0.546,0.87,0.0,0.111,-5.107,0.114,156.145,4,2010
206,Shot For Me,Take Care (Deluxe),Drake,True,2011-11-15,224720,72,2011-11-15,0.0555,0.566,0.465,0.0,0.567,-11.714,0.235,143.015,4,2011
207,Headlines,Take Care (Deluxe),Drake,True,2011-11-15,235986,81,2011-11-15,0.365,0.636,0.566,0.000353,0.0917,-7.16,0.106,151.894,4,2011
208,Crew Love,Take Care (Deluxe),Drake,True,2011-11-15,208813,76,2011-11-15,0.227,0.418,0.546,0.0,0.229,-9.057,0.238,160.152,4,2011
209,Take Care,Take Care (Deluxe),Drake,True,2011-11-15,277386,79,2011-11-15,0.0267,0.629,0.515,1.22e-05,0.0888,-10.358,0.265,121.845,4,2011
210,Marvins Room,Take Care (Deluxe),Drake,True,2011-11-15,347226,78,2011-11-15,0.646,0.492,0.26,0.00178,0.0705,-17.341,0.0921,111.519,5,2011
211,Buried Alive Interlude,Take Care (Deluxe),Drake,True,2011-11-15,150960,61,2011-11-15,0.412,0.711,0.543,0.0,0.505,-12.692,0.112,102.01,4,2011
212,Under Ground Kings,Take Care (Deluxe),Drake,True,2011-11-15,212613,65,2011-11-15,5.2e-05,0.487,0.712,0.0,0.198,-7.323,0.27,156.209,4,2011
213,We'll Be Fine,Take Care (Deluxe),Drake,True,2011-11-15,247946,61,2011-11-15,0.00171,0.386,0.488,0.0,0.64,-7.303,0.422,193.397,4,2011
214,Make Me Proud,Take Care (Deluxe),Drake,True,2011-11-15,219893,72,2011-11-15,0.00268,0.684,0.486,0.000148,0.157,-10.155,0.132,131.913,4,2011
216,Cameras / Good Ones Go Interlude - Medley,Take Care (Deluxe),Drake,True,2011-11-15,434960,77,2011-11-15,0.255,0.441,0.403,1.27e-05,0.13,-11.18,0.147,139.92,4,2011
217,Doing It Wrong,Take Care (Deluxe),Drake,True,2011-11-15,265120,72,2011-11-15,0.841,0.397,0.172,6.78e-05,0.108,-15.698,0.0445,101.275,4,2011
218,The Real Her,Take Care (Deluxe),Drake,True,2011-11-15,321080,63,2011-11-15,0.166,0.567,0.309,0.0,0.12,-14.254,0.385,65.041,4,2011
219,Look What You've Done,Take Care (Deluxe),Drake,True,2011-11-15,301960,71,2011-11-15,0.485,0.495,0.351,0.0,0.0967,-14.669,0.34,134.369,4,2011
220,HYFR (Hell Ya Fucking Right),Take Care (Deluxe),Drake,True,2011-11-15,206626,74,2011-11-15,0.123,0.444,0.627,0.0,0.0795,-8.744,0.252,98.21,3,2011
221,Practice,Take Care (Deluxe),Drake,True,2011-11-15,237733,72,2011-11-15,0.574,0.446,0.239,7.76e-05,0.12,-15.327,0.0876,104.675,4,2011
222,The Ride,Take Care (Deluxe),Drake,True,2011-11-15,351000,62,2011-11-15,0.517,0.556,0.702,0.0,0.343,-10.079,0.205,155.948,4,2011
223,The Motto,Take Care (Deluxe),Drake,True,2011-11-15,181573,78,2011-11-15,0.000107,0.766,0.442,6.12e-05,0.111,-8.558,0.356,201.8,4,2011
