,name,album,artist,explicit,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,year
13,Dancing Queen,Arrival,ABBA,False,1976-01-01,230400,83,1976,0.358,0.543,0.87,0.000939,0.792,-6.514,0.0428,100.804,4,1976
40,Rock Your Body,Justified,Justin Timberlake,False,2002-11-04,267266,76,2002-11-04,0.201,0.892,0.714,0.000234,0.0521,-6.055,0.141,100.972,4,2002
18,Hey Ya!,Speakerboxxx/The Love Below,Outkast,False,2003-01-01,235213,81,2003,0.103,0.727,0.974,0.000532,0.174,-2.261,0.0664,79.526,4,2003
30,Crazy In Love (feat. Jay-Z),Dangerously In Love,Beyoncé,False,2003-06-24,236133,76,2003-06-24,0.00249,0.646,0.77,0.0,0.0715,-6.596,0.226,99.165,4,2003
28,Move Your Feet,d-d-don't don't stop the beat (Explicit Content U.S. Version),Junior Senior,False,2003-07-25,181906,61,2003-07-25,0.0507,0.755,0.895,0.0737,0.222,-2.619,0.0883,118.871,4,2003
68,Since U Been Gone,Breakaway,Kelly Clarkson,False,2004-01-17,188960,72,2004-01-17,0.00165,0.662,0.741,0.0303,0.114,-5.406,0.0334,131.0,4,2004
61,Yeah! (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),Usher,False,2004-03-23,250373,82,2004-03-23,0.0183,0.894,0.791,0.0,0.0388,-4.699,0.112,105.018,4,2004
4,Mr. Brightside,Hot Fuss,The Killers,False,2004-06-15,222586,52,2004-06-15,0.00101,0.356,0.924,0.0,0.0953,-3.74,0.0808,148.017,4,2004
56,Gasolina,Barrio Fino (Bonus Track Version),Daddy Yankee,False,2004-07-13,192600,81,2004-07-13,0.322,0.852,0.797,2.69e-06,0.0845,-6.543,0.0614,96.008,4,2004
64,Temperature,The Trinity,Sean Paul,False,2005-09-26,218573,79,2005-09-26,0.106,0.951,0.6,0.0,0.0712,-4.675,0.0685,125.04,4,2005
53,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,False,2005-11-28,218093,83,2005-11-28,0.284,0.778,0.824,0.0,0.405,-5.892,0.0707,100.024,4,2005
57,Promiscuous,Loose,Nelly Furtado,False,2006-01-01,242293,82,2006-01-01,0.0569,0.808,0.97,6.13e-05,0.154,-6.098,0.0506,114.328,4,2006
50,SexyBack (feat. Timbaland),FutureSex/LoveSounds,Justin Timberlake,True,2006-09-12,242733,77,2006-09-12,0.0584,0.967,0.583,0.0,0.0519,-5.562,0.0789,117.0,4,2006
41,Beautiful Girls,Beautiful Girls,Sean Kingston,False,2007-07-23,225373,78,2007-07-23,0.15,0.762,0.661,0.0,0.256,-6.075,0.0687,130.009,4,2007
35,Flashing Lights,Graduation,Kanye West,True,2007-09-11,237506,82,2007-09-11,0.0381,0.639,0.628,0.0,0.386,-7.578,0.0399,90.482,4,2007
75,Just Dance,The Fame,Lady Gaga,False,2008-01-01,241933,74,2008-01-01,0.0264,0.822,0.739,4.26e-05,0.181,-4.541,0.0311,118.992,4,2008
66,Kiss Me Thru The Phone,iSouljaBoyTellem,Soulja Boy,False,2008-01-01,193386,76,2008-01-01,0.0185,0.758,0.712,0.0,0.0677,-3.781,0.112,149.998,4,2008
52,Paparazzi,The Fame,Lady Gaga,False,2008-01-01,208306,69,2008-01-01,0.113,0.762,0.692,0.0,0.094,-3.973,0.0438,114.906,4,2008
62,Low (feat. T-Pain),Mail on Sunday,Flo Rida,False,2008-03-17,231400,80,2008-03-17,0.0928,0.918,0.609,0.0,0.139,-5.64,0.0791,128.008,4,2008
63,Whatever You Like,Paper Trail,T.I.,True,2008-09-07,249533,74,2008-09-07,0.0161,0.68,0.687,0.0,0.261,-6.162,0.0709,150.053,4,2008
69,Sex on Fire,Only By The Night,Kings of Leon,False,2008-09-23,203346,81,2008-09-23,0.00172,0.542,0.905,0.0104,0.136,-5.653,0.054,153.398,4,2008
31,Suavemente,Suavemente...Los Exitos,Elvis Crespo,False,2008-10-14,266306,66,2008-10-14,0.238,0.809,0.883,0.00234,0.0625,-2.965,0.0689,124.096,4,2008
48,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,False,2009-01-01,289133,73,2009-01-01,0.0873,0.744,0.766,0.0,0.509,-6.375,0.0265,127.966,4,2009
17,Party In The U.S.A.,The Time Of Our Lives,Miley Cyrus,False,2009-01-01,202066,76,2009-01-01,0.00112,0.652,0.698,0.000115,0.0886,-4.667,0.042,96.021,4,2009
29,Memories (feat. Kid Cudi),One Love (Deluxe),David Guetta,False,2009-08-21,210093,68,2009-08-21,0.0015,0.561,0.87,2.82e-06,0.246,-6.103,0.343,129.98,4,2009
32,Sexy Bitch (feat. Akon),One Love (Deluxe),David Guetta,True,2009-08-21,195853,66,2009-08-21,0.0771,0.813,0.627,0.000616,0.131,-5.018,0.0486,130.011,4,2009
22,Hotel Room Service,Pitbull Starring In Rebelution,Pitbull,False,2009-08-31,237640,73,2009-08-31,0.00705,0.851,0.629,0.000372,0.0746,-8.385,0.175,125.984,4,2009
43,Fire Burning,Tomorrow,Sean Kingston,False,2009-09-07,239986,71,2009-09-07,0.0192,0.839,0.804,0.0,0.331,-2.513,0.0329,122.973,4,2009
11,Empire State Of Mind,The Blueprint 3,JAY-Z,True,2009-09-08,276920,82,2009-09-08,0.0295,0.491,0.956,0.0,0.46,-1.538,0.392,173.585,4,2009
12,Pursuit Of Happiness (Nightmare),Man On The Moon: The End Of Day,Kid Cudi,True,2009-09-15,295293,74,2009-09-15,0.484,0.63,0.605,9.29e-05,0.298,-8.951,0.0414,115.277,4,2009
21,S&M,Loud (Japan Version),Rihanna,False,2010-01-01,243600,76,2010-01-01,0.0105,0.769,0.684,0.000125,0.0887,-5.019,0.0411,127.972,4,2010
19,I Like It,Euphoria (Standard US/Latin version),Enrique Iglesias,False,2010-01-01,231786,66,2010-01-01,0.0209,0.646,0.94,0.0,0.0691,-2.856,0.0838,129.011,4,2010
74,What's My Name?,Loud (Japan Version),Rihanna,False,2010-01-01,263173,71,2010-01-01,0.182,0.689,0.784,0.0,0.0843,-2.972,0.074,99.954,4,2010
27,Danza Kuduro,Meet The Orphans,Don Omar,False,2010-01-01,198773,78,2010-01-01,0.0846,0.4,0.915,0.0,0.0503,-4.89,0.28,88.917,3,2010
